section_ID,area_pre,area_post2,area_change,scan_page_pre,scan_page_post2,threshold_post,notes_pre,notes_post2
26.7.2,3.921,3.922,0.001,AV_Ambient_2of3_pre,AV_choice_post_scan2,155,auto tool picked up the border; outlined by hand,
26.7.3,3.819,3.966,0.147,Control_Ambient_1of3_pre,AV_choice_post_scan12,0,,eelgrass touching label; used polygon tool
26.7.4,3.859,3.775,-0.084,AV_Ambient_3of3_pre,AV_choice_post_scan6,0,,used polygon tool
26.7.5,3.934,4,0.066,Control_Reduced_1of3_pre,AV_choice_post_scan11,0,,watermarks; used polygon tool
26.7.6,3.923,3.856,-0.067,AV_Ambient_1of3_pre,AV_choice_post_scan5,138,,shadows
26.7.7,3.879,3.886,0.007,Control_Ambient_3of3_pre,AV_choice_post_scan8,0,,shadows; used polygon tool
26.7.8,3.869,3.527,-0.342,AV_Reduced_3of3_pre,AV_choice_post_scan2,155,,
26.7.9,3.876,3.882,0.006,Control_Reduced_2of3_pre,AV_choice_post_scan7,125,,shadows
26.9.1,3.323,3.104,-0.219,AV_Reduced_1of3_pre,AV_choice_post_scan3,0,,used polygon tool
26.9.10,3.494,3.495,0.001,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
26.9.2,3.407,3.384,-0.023,AV_Ambient_3of3_pre,AV_choice_post_scan4,143,,shadows
26.9.3,3.503,3.555,0.052,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
26.9.4,3.508,3.544,0.036,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
26.9.5,3.556,3.502,-0.054,AV_Ambient_2of3_pre,AV_choice_post_scan4,129,,"grazing, and shadow from watermarks "
26.9.6,3.522,3.544,0.022,Control_Reduced_2of3_pre,AV_choice_post_scan12,155,,
26.9.7,3.59,3.531,-0.059,AV_Reduced_2of3_pre,AV_choice_post_scan1,126,,grazing
26.9.8,3.577,3.284,-0.293,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
26.9.9,3.504,3.568,0.064,Control_Ambient_2of3_pre,AV_choice_post_scan10,0,,shadows; used polygon tool
28.11.1,3.271,3.385,0.114,Control_Reduced_1of3_pre,AV_choice_post_scan9,0,,shadows; used polygon tool
28.11.10,3.748,3.77,0.022,AV_Reduced_3of3_pre,AV_choice_post_scan6,155,,
28.11.2,3.506,3.433,-0.073,AV_Ambient_2of3_pre,AV_choice_post_scan2,155,,
28.11.3,3.609,3.625,0.016,AV_Reduced_1of3_pre,AV_choice_post_scan3,155,,
28.11.4,3.651,3.735,0.084,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
28.11.5,3.787,3.769,-0.018,AV_Reduced_1of3_pre,AV_choice_post_scan7,155,,
28.11.6,3.741,3.786,0.045,Control_Reduced_3of3_pre,AV_choice_post_scan11,155,,
28.11.7,3.822,3.856,0.034,AV_Reduced_3of3_pre,AV_choice_post_scan5,155,,
28.11.8,3.759,3.776,0.017,Control_Ambient_2of3_pre,AV_choice_post_scan7,155,,
28.11.9,3.757,3.772,0.015,Control_Reduced_2of3_pre,AV_choice_post_scan7,134,,shadows
28.3.1,3.757,3.792,0.035,AV_Reduced_1of3_pre,AV_choice_post_scan3,155,,
28.3.10,3.841,3.909,0.068,Control_Reduced_2of3_pre,AV_choice_post_scan11,155,,
28.3.2,3.943,3.982,0.039,Control_Ambient_1of3_pre,AV_choice_post_scan7,0,,used polygon tool
28.3.3,3.929,3.774,-0.155,AV_Ambient_2of3_pre,AV_choice_post_scan3,162,,grazing
28.3.4,4.012,4.045,0.033,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
28.3.5,3.939,3.967,0.028,AV_Ambient_2of3_pre,AV_choice_post_scan4,155,,
28.3.6,3.996,3.971,-0.025,AV_Ambient_1of3_pre,AV_choice_post_scan5,155,,eelgrass touching label; used polygon tool
28.3.7,3.981,3.998,0.017,Control_Ambient_3of3_pre,AV_choice_post_scan8,131,,shadows
